epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.5466,1.42532,2.51087,1.22467,0.97498,0.20295,0.64354,0.36489,1.27577,2.76851,1.0379,0.000654762,0.000654762,0.000654762
2,44.9388,1.38493,1.73769,1.20316,0.76665,0.60938,0.66119,0.42123,1.31973,2.15707,1.14786,0.00129526,0.00129526,0.00129526
3,67.7217,1.33977,1.52152,1.20072,0.75924,0.70833,0.78639,0.47716,1.36323,1.59798,1.25136,0.00190937,0.00190937,0.00190937
4,88.5591,1.35894,1.44152,1.19738,0.81235,0.72917,0.80638,0.44758,1.43261,1.3968,1.29171,0.0018812,0.0018812,0.0018812
5,109.332,1.37992,1.34884,1.2357,0.78741,0.86809,0.87916,0.54829,1.28712,1.14574,1.17164,0.0018416,0.0018416,0.0018416
6,130.233,1.29058,1.22037,1.19693,0.82409,0.90281,0.87948,0.53767,1.30937,0.99589,1.19013,0.001802,0.001802,0.001802
7,151.368,1.3205,1.16485,1.18855,0.84638,0.85417,0.87426,0.5214,1.3831,0.99424,1.19393,0.0017624,0.0017624,0.0017624
8,172.985,1.27438,1.06547,1.1665,0.81556,0.87515,0.88518,0.52831,1.35051,0.94403,1.2071,0.0017228,0.0017228,0.0017228
9,194.01,1.29491,1.01971,1.18942,0.79858,0.86731,0.8784,0.53268,1.30935,0.90201,1.18515,0.0016832,0.0016832,0.0016832
10,214.77,1.27898,1.0886,1.16408,0.86406,0.82292,0.88436,0.55473,1.28152,0.84984,1.1583,0.0016436,0.0016436,0.0016436
11,236.525,1.26117,0.98719,1.15231,0.82572,0.76496,0.81868,0.49091,1.43254,1.14147,1.22879,0.001604,0.001604,0.001604
12,259.146,1.30224,0.96772,1.19206,0.82227,0.90625,0.89117,0.54704,1.34081,0.83385,1.18563,0.0015644,0.0015644,0.0015644
13,281.662,1.30988,0.95082,1.19116,0.76711,0.89583,0.86339,0.516,1.34735,0.91241,1.20026,0.0015248,0.0015248,0.0015248
14,303.662,1.26389,0.9482,1.16374,0.81888,0.82416,0.8471,0.49327,1.34268,0.95306,1.18212,0.0014852,0.0014852,0.0014852
